751	151040
753	151040
755	401010
756	401020
757	451020
759	452020
760	401010
767	451030
771	203020
772	403010
774	452020
777	403010
779	401010
780	201020
781	255020
782	452020
785	201010
787	151020
789	201030
790	452030
797	252030
799	351010
800	401020
801	351020
804	401010
806	401010
807	252010
808	201060
809	401020
810	351010
812	351020
814	201010
815	301010
816	201060
817	203010
818	302020
819	401020
820	203040
821	201060
824	352010
825	151030
827	403010
828	451020
829	351010
830	202010
831	403010
832	401010
833	401010
836	202010
839	401010
843	253010
846	255040
847	403010
848	453010
849	402010
850	352010
851	151040
852	451030
853	352020
854	151050
855	452010
856	352020
857	451010
858	302020
859	151040
861	151040
865	402010
868	402010
869	151010
872	451030
873	203020
877	402010
878	402030
879	252020
882	501010
883	402010
884	451030
889	351020
890	201040
891	452010
892	253010
894	151020
897	402010
898	452020
903	254010
909	351020
911	452020
912	452030
913	352030
914	151040
916	151040
917	352010
919	254010
920	252020
921	255040
922	452030
923	403010
925	501010
928	403010
931	452020
932	201050
933	252010
935	404010
939	452030
941	202020
942	253010
943	252010
945	201040
946	451030
947	352020
948	451010
949	151040
950	451020
951	501010
952	254010
954	251010
955	202010
956	401010
958	255040
959	452010
960	453010
961	254010
962	252020
963	451030
964	501010
965	451030
966	252010
967	451030
968	303020
969	452010
970	255010
972	151030
973	352020
974	201010
975	351010
977	351010
979	452030
980	451030
981	255020
982	404020
983	151010
984	201060
986	452010
987	255030
988	252030
989	451030
990	202010
992	254010
993	453010
996	254010
997	452010
998	252020
999	351020
1000	453010
1001	202010
1002	452020
1003	201060
1004	255010
1006	202010
1007	351010
1009	252010
1010	302020
1011	151010
1012	352030
1013	403010
1014	255010
1015	201060
1016	351020
1017	452020
1020	352020
1022	452020
1023	451020
1024	202010
1027	452010
1029	451030
1030	452010
1032	402010
1037	351020
1038	451030
1041	NULL
1043	451030
1044	404020
1046	452050
1048	452020
1049	252030
1050	403010
1052	351010
1053	452050
1054	453010
1055	453010
1056	101010
1058	201010
1060	254010
1062	101020
1063	255040
1064	551010
1065	151030
1066	201040
1067	551050
1068	255010
1069	351020
1071	151030
1072	203010
1074	255010
1076	401010
1077	352010
1078	401010
1080	302020
1081	201040
1083	401010
1085	452010
1086	402010
1087	401010
1088	402010
1089	401010
1090	401010
1092	451020
1093	352030
1095	201020
1096	151010
1097	451030
1098	403010
1100	452030
1101	352010
1102	254010
1103	351010
1107	401010
1109	254010
1111	203040
1114	452050
1117	253010
1119	201060
1120	403010
1122	202010
1123	402030
1126	151010
1127	201040
1129	403010
1130	451030
1131	202010
1132	151030
1133	201020
1134	551020
1137	352020
1140	254010
1141	151040
1143	202010
1144	252020
1145	352010
1146	302020
1147	201050
1148	401010
1149	252010
1150	151010
1151	501020
1152	255010
1154	151010
1156	404010
1158	202010
1160	452020
1161	302020
1162	101010
1163	453010
1165	101020
1166	351020
1167	401010
1168	404020
1170	351020
1171	403010
1172	403010
1174	401010
1176	252010
1177	352020
1178	351010
1182	202010
1183	403010
1184	202010
1185	253010
1186	253010
1187	351020
1188	351020
1189	251010
1191	401010
1193	451030
1194	352030
1196	403010
1197	202010
1198	403010
1199	403010
1200	251010
1202	302020
1203	201060
1206	451030
1208	352010
1209	202010
1213	203040
1214	452010
1215	151050
1216	101020
1217	201010
1218	255040
1219	202010
1220	201060
1223	452010
1224	201010
1225	351010
1226	501010
1229	451030
1232	151040
1235	403010
1236	255020
1237	302020
1238	201060
1241	451030
1242	151010
1244	302010
1246	352020
1247	101020
1249	351010
1251	151040
1254	401010
1257	151010
1259	401010
1260	401010
1261	352010
1265	404010
1266	352020
1267	403010
1269	302020
1270	203040
1271	452010
1275	252020
1276	451030
1279	302010
1280	303020
1281	203030
1282	351020
1283	403010
1285	303020
1290	551020
1291	451030
1293	501010
1294	351020
1296	151010
1297	302010
1298	203020
1299	352010
1302	402010
1305	451020
1306	451010
1308	254010
1309	151040
1310	201060
1311	451020
1313	452010
1314	452020
1315	201030
1316	501010
1318	452020
1319	452020
1321	252030
1323	451020
1324	452030
1326	451020
1327	403010
1328	202010
1329	452050
1330	452010
1331	255030
1333	453010
1334	253010
1335	451030
1339	452020
1340	254010
1341	101020
1342	451030
1344	452020
1345	453010
1346	351020
1347	251010
1348	403010
1349	202010
1350	404020
1351	352010
1353	451030
1354	151040
1355	201060
1357	251020
1358	255010
1359	351010
1360	401010
1361	351020
1362	453010
1363	252010
1366	401010
1367	352020
1368	254010
