1982	2007-12-31	48	63	48
2173	2007-12-31	52	51	38
126406	2007-12-31	6	\N	55
12118	2007-12-31	55	15	94
2483	2007-12-31	5	34	29
2350	2007-12-31	72	67	85
17322	2007-12-31	59	\N	\N
2038	2007-12-31	85	66	34
10045	2007-12-31	13	\N	72
17333	2007-12-31	25	4	27
2184	2007-12-31	87	75	59
17301	2007-12-31	76	80	38
17300	2007-12-31	64	64	31
128096	2007-12-31	42	61	11
2699	2007-12-31	6	75	3
2757	2007-12-31	89	88	13
2278	2007-12-31	28	\N	21
129428	2007-12-31	44	10	22
2373	2007-12-31	49	34	91
126399	2007-12-31	35	\N	14
17316	2007-12-31	56	19	75
2165	2007-12-31	44	6	65
2345	2007-12-31	48	49	18
17332	2007-12-31	29	73	47
2075	2007-12-31	82	72	48
2406	2007-12-31	23	\N	3
2491	2007-12-31	53	77	85
3987	2007-12-31	80	\N	6
2522	2007-12-31	5	10	17
2307	2007-12-31	57	82	17
2128	2007-12-31	89	20	89
17330	2007-12-31	43	56	54
2272	2007-12-31	34	78	69
126403	2007-12-31	88	41	60
2610	2007-12-31	38	\N	85
2080	2007-12-31	15	25	97
2659	2007-12-31	26	55	78
17325	2007-12-31	40	68	9
2782	2007-12-31	66	\N	77
2437	2007-12-31	75	60	67
2460	2007-12-31	64	72	79
2241	2007-12-31	46	77	94
2441	2007-12-31	91	75	55
2728	2007-12-31	5	74	83
8708	2007-12-31	71	86	71
2829	2007-12-31	64	72	71
251155	2007-12-31	30	\N	5
2212	2007-12-31	34	63	30
3025	2007-12-31	83	\N	66
2231	2007-12-31	44	18	89
3033	2007-12-31	78	\N	43
2077	2007-12-31	52	23	92
2769	2007-12-31	88	26	63
17326	2007-12-31	64	77	58
3898	2007-12-31	43	22	100
4148	2007-12-31	98	\N	97
267389	2007-12-31	5	\N	17
17318	2007-12-31	50	27	59
2828	2007-12-31	23	2	95
17478	2007-12-31	79	65	19
2871	2007-12-31	52	61	72
2869	2007-12-31	15	77	14
3122	2007-12-31	87	42	83
4350	2007-12-31	23	60	55
2832	2007-12-31	96	88	30
17444	2007-12-31	51	71	71
2839	2007-12-31	76	62	96
17471	2007-12-31	93	\N	95
17501	2007-12-31	84	92	80
3603	2007-12-31	32	44	10
4176	2007-12-31	56	38	55
4235	2007-12-31	76	24	76
